名称,住所
くるみ,埼玉県さいたま市西区西遊馬367-5プライエボーリ湯澤1階
中野林ゆめの園　ヘルパーステーション,埼玉県さいたま市西区中野林字中郷６５０番の１
医療生協おおみやヘルパーステーション,埼玉県さいたま市西区指扇１０７０
ひかり　訪問介護,埼玉県さいたま市西区三橋6-20-1
富士見園　訪問介護事業所,埼玉県さいたま市西区清河寺７９６
けやき訪問介護,埼玉県さいたま市西区三橋5-2219-2リエス大宮三橋103
特定非営利活動法人おおみやコアラ,埼玉県さいたま市西区土屋349杉山家貸家D
シャルールわん,埼玉県さいたま市西区三橋5-600-1
アミカ指扇介護センター,埼玉県さいたま市西区土屋594-3鈴木ビル1階
ありがとう,埼玉県さいたま市西区植田谷本137-1加茂川団地7-108
コスモ訪問入浴サービス,埼玉県さいたま市西区飯田309番地1
大宮西訪問看護ステーションくるみ,埼玉県さいたま市西区西遊馬１２５９－２
西大宮訪問看護ステーション,埼玉県さいたま市西区西大宮3-3
ニーズ訪問看護リハビリステーション　西大宮,埼玉県さいたま市西区三橋６－１６１７－１ボヌール２１　２階　２０１号室
医療法人社団　松弘会　介護老人保健施設　トワーム指扇,埼玉県さいたま市西区宝来字町田５９１番
訪問リハビリステーション大宮,埼玉県さいたま市西区清河寺685-1
訪問リハビリステーションくるみ,埼玉県さいたま市西区三橋6丁目567番地
三恵苑　通所介護事業所,埼玉県さいたま市西区高木８９２
通所介護　春陽苑,埼玉県さいたま市西区飯田新田９１－１
デイケアセンター みると,埼玉県さいたま市西区西遊馬１２５８
デイホーム  まみや,埼玉県さいたま市西区西遊馬771-2
中野林ゆめの園　デイサービスセンター,埼玉県さいたま市西区中野林字中郷６５０番の１
愛の家　デイサービスセンター　大宮指扇,埼玉県さいたま市西区指扇５６６－１
デイサービスセンター　扇の森,埼玉県さいたま市西区高木６０２番１
リハ倶楽部　さくら,埼玉県さいたま市西区宮前町１９２－１
敬寿園宝来ホーム　デイサービスセンター,埼玉県さいたま市西区宝来86-1
デイサービスセンターおおみや,埼玉県さいたま市西区指扇１０７０
あずみ苑　三橋,埼玉県さいたま市西区三橋５－５１７
デイリハ　三橋,埼玉県さいたま市西区三橋6-192
佐知川ケアセンターそよ風,埼玉県さいたま市西区佐知川1059-1
西おおみや翔裕館,埼玉県さいたま市西区指扇3624
三橋ナーシングホームデイサービスセンター,埼玉県さいたま市西区三橋５丁目５６０番地１
デイサービスセンターエクラシア指扇,埼玉県さいたま市西区土屋36-1
高齢者ケアセンター　ゆらぎ,埼玉県さいたま市西区西遊馬１５５６
老人保健施設春陽苑,埼玉県さいたま市西区飯田新田９１－１
ケア大宮花の丘,埼玉県さいたま市西区内野本郷９７５－５
介護老人保健施設　葵の園・大宮,埼玉県さいたま市西区清河寺685-1
ル・サンク湯澤,埼玉県さいたま市西区三橋6-567
三恵苑　短期入所生活介護事業所,埼玉県さいたま市西区中釘２２１９－４
短期入所生活介護春陽苑,埼玉県さいたま市西区飯田新田９１－１
特別養護老人ホーム　中野林ゆめの園,埼玉県さいたま市西区中野林字中郷６５０番の１
特別養護老人ホーム　中野林ゆめの園　ショートステイ事業,埼玉県さいたま市西区中野林字中郷６５０番の１
ショートステイ　扇の森,埼玉県さいたま市西区高木６０２番１
敬寿園宝来ホーム短期入所生活介護事業所,埼玉県さいたま市西区宝来86-1
特別養護老人ホーム　遊美園,埼玉県さいたま市西区佐知川１５２２－１
ひかわ短期入所生活介護事業所,埼玉県さいたま市西区高木８９２
茶の木,埼玉県さいたま市西区西遊馬847-3
ショートステイ扇の森ＷＥＳＴ,埼玉県さいたま市西区中釘2345-1
特別養護老人ホーム　フォレスト指扇,埼玉県さいたま市西区指扇字向1277番11
敬寿園宝来ホーム短期入所生活介護事業所　ユニット型,埼玉県さいたま市西区大字宝来86番地1
介護老人保健施設春陽苑,埼玉県さいたま市西区飯田新田９１－１
介護老人保健施設　びわの葉,埼玉県さいたま市西区宝来1348-1
介護付有料老人ホーム　すこや家・大宮佐知川,埼玉県さいたま市西区佐知川１１４４－１
富士見園　特定施設生活介護事業所,埼玉県さいたま市西区清河寺７９６
ホームステーションらいふ　指扇,埼玉県さいたま市西区土屋242-1
ニチイケアセンター内野本郷,埼玉県さいたま市西区内野本郷1085-1
介護付有料老人ホーム　みんなの家・三橋６丁目,埼玉県さいたま市西区三橋6-393-1
介護付有料老人ホーム　たのしい家　さいたま指扇,埼玉県さいたま市西区土屋上新田1729-1
さわやかおおみや館,埼玉県さいたま市西区内野本郷1082-1
介護付有料老人ホーム　みんなの家・大宮内野本郷,埼玉県さいたま市西区内野本郷477-1
ハーモニーライフ大宮,埼玉県さいたま市西区三橋6-322-1
イリーゼ西大宮,埼玉県さいたま市西区三橋6-1235-1
三橋ナーシングホーム,埼玉県さいたま市西区三橋５丁目５６０番地１
ＳＯＭＰＯケア　ラヴィーレ西大宮,埼玉県さいたま市西区西大宮1-18-1
株式会社　アムス,埼玉県さいたま市西区宝来612-1
くるみ,埼玉県さいたま市西区西遊馬１２５９－２
三恵苑在宅介護支援センター,埼玉県さいたま市西区高木８９２
居宅介護支援事業所春陽苑,埼玉県さいたま市西区飯田新田９１－１
高齢者ケアセンターゆらぎ居宅介護支援センター,埼玉県さいたま市西区西遊馬１５５６
中野林ゆめの園　在宅介護支援センター,埼玉県さいたま市西区中野林字中郷６５０番の１
愛の家居宅介護支援センター大宮指扇,埼玉県さいたま市西区指扇５６６－１
ケアプランセンター　扇の森,埼玉県さいたま市西区高木６０２番１
医療生協おおみやケアセンター,埼玉県さいたま市西区指扇１０７０
敬寿園宝来ホーム居宅介護支援センター,埼玉県さいたま市西区宝来86-1
ケア大宮花の丘居宅介護支援センター,埼玉県さいたま市西区内野本郷９７５－５
居宅介護支援事業所　遊美園,埼玉県さいたま市西区佐知川１５２２－１
居宅介護支援事業所トワーム指扇,埼玉県さいたま市西区宝来字町田５９１
プライエボーリくるみ,埼玉県さいたま市西区西遊馬３６７－５　プライエボーリ湯澤１階
大宮・あおいホームケアサービス,埼玉県さいたま市西区清河寺685-1
すみれ居宅介護支援合同会社,埼玉県さいたま市西区佐知川1360-2
楽しいわが家　居宅介護支援事業所,埼玉県さいたま市西区三橋6-21-2
ケアオフィスわきた,埼玉県さいたま市西区佐知川1112-2　ハイシマコーポラス202
わんわん介護,埼玉県さいたま市西区三橋5-600-1
華齢なるケアマネたち,埼玉県さいたま市西区大字内野本郷693番地46
居宅介護支援事業所　緑水苑指扇,埼玉県さいたま市西区指扇1570-2
ケアバンクあさひ,埼玉県さいたま市西区西遊馬1272-1
ル・サンク湯澤,埼玉県さいたま市西区三橋6丁目567番地
いきサポ相談事務所,埼玉県さいたま市西区二ツ宮697-1
あさがお清河寺,埼玉県さいたま市西区内野本郷477-1
居宅介護支援事業所　三橋ナーシングホーム,埼玉県さいたま市西区三橋５丁目５６０番地１
ケアプラン　たまき,埼玉県さいたま市西区西大宮一丁目47番地7
介護老人福祉施設春陽苑,埼玉県さいたま市西区飯田新田９１－１
特別養護老人ホーム三恵苑,埼玉県さいたま市西区中釘２２１９－４
特別養護老人ホーム　扇の森,埼玉県さいたま市西区高木６０２番１
特別養護老人ホーム　敬寿園宝来ホーム,埼玉県さいたま市西区宝来86-1
特別養護老人ホーム　ひかわ,埼玉県さいたま市西区高木８９２
特別養護老人ホーム　緑水苑指扇,埼玉県さいたま市西区指扇1570-2
特別養護老人ホーム敬寿園宝来ホーム　ユニット型,埼玉県さいたま市西区宝来86番地1
ふくしのまち大宮,埼玉県さいたま市北区櫛引町2-271-1川善ビル2-A
ケアプラン　ひばり,埼玉県さいたま市北区日進町２－４９５
株式会社大宮介助センター,埼玉県さいたま市北区吉野町１－３９３－２１
あすなろケアサービス大宮,埼玉県さいたま市北区本郷町４５０－３エクセレントＵＭ１０２
訪問介護事業所　たんとん,埼玉県さいたま市北区土呂町２－１２－１８中橋ビル２０２号室
あおば訪問介護センター,埼玉県さいたま市北区日進町２－９２５－３
訪問介護　まりも,埼玉県さいたま市北区日進町３－４８８－３　スカイハイム１０２
訪問介護ステーション　来楽　大宮,埼玉県さいたま市北区植竹町１丁目５３９番地植竹コーポ２０１号室
ニチイケアセンター　宮原,埼玉県さいたま市北区宮原町３－３５５　ＭＮビル　１Ｆ
ホームヘルパーそらいろ,埼玉県さいたま市北区植竹町１－３３０－２　
東電さわやかケアにっしん・訪問介護,埼玉県さいたま市北区宮原町3-176-2
ヘルパーステーションねこの手,埼玉県さいたま市北区土呂町２丁目５９番地３－１０１
宮原ゆめの園ヘルパーステーション,埼玉県さいたま市北区宮原町1-478
